Course Department Code,Course Number,Course Title,Course Status Code,Course Catalog Code,Catalog Abstract
ANT ,ANT 110     ,Intro to Cultural Anthropology  ,A,UG16,"An introduction to the perspectives and methods of cultural anthropology. Topics covered include the nature of culture; the relation of culture to language; the importance of the environment for human societies; and a cross-cultural examination of family structure, social organization, political and economic systems, religion, arts and folklore, and the impact of social and cultural change.
"
,,,,,
,,,,,
ANT ,ANT 120     ,Human Biological&CulturalOrigins  ,A,UG16,"An introduction to major topics in physical anthropology and archaeology, including studies of human biological and cultural evolution, conflicting theories over the genetic and cultural bases of human behavior, history and methodology of archaeology, and on-going debates and new directions in these areas of anthropology.
"
,,,,,
ANT ,ANT 130     ,Intro to Archaeology  ,A,UG16,"An examination of the basic theory and concepts of archaeological inquiry, including a comprehensive introduction to archaeology and the profession of the archaeologist. Field methods are considered, as case studies are thoroughly examined. The course contains a weekly technology component and students are expected to utilize a variety of resources available via the Internet, as well as multi-media CD-ROM's. (Formerly offered as ANT 13.)
"
,,,,,
,,,,,
ANT ,ANT 205     ,Spain&Morocco:Cultural Adventure  ,A,UG16,"Through an intense 16-day musical and cultural study tour guided by local experts, in which students explore the music, art, architecture, dance and festivity of the region of southern Spain and Morocco , the course examines the ways in which a culture's artistic traditions are a reflection of societal values. Open to students who have paid the deposit for this off campus program. Conducted in Spain & Morocco. (Also listed as MUS 205.)
"
,,,,,
,,,,,
ANT ,ANT 246     ,Folklore/Expresv Culture Mexico  ,A,UG16,
ANT ,ANT 250     ,Anthropology of Art  ,A,UG16,"A consideration of art in its cultural context, from its beginnings through today. The definition of art being used in this course is broad, and includes the traditional arts of painting and sculpture along with architecture and what has been traditionally termed craft. The role of art and artist in social life and communication is considered. The course includes a five-day field trip to Chicago. 
"
,,,,,
,,,,,
ANT ,ANT 251     ,"Gender, Ethnicity, and Health  ",A,UG16,
ANT ,ANT 252     ,"Tombs, Temples, and Trash: Intro to Archaeology ",A,UG16,"This course introduces students to archaeology by focusing on key archaeological questions and evidence, including tombs, monumental architecture, and the trash produced by daily life in the past. Students will gain hands-on experience with archaeological artifacts and experimental archaeology. They will learn the foundations of the archaeology��s perspective on the past, as well as the implications of learning about ancient societies for the present."
,,,,,
,,,,,
ANT ,ANT 255     ,Anthropology of Violence  ,A,UG16,"The course focuses on the cultural shaping of violence, looking at both culture-specific phenomena and those patterns that are documented around the world and throughout history. Sites of violence range from the domestic sphere and the community, to institutionalized violence and appropriation of resources, and to state-sanctioned torture and global terrorism. In each case, we take into account context, checks and balances, mediation, and peaceful resolution within and without any legal structure. Specific topics of violence include child, spouse, and pet abuse, crime and warfare, vandalism, and abuse of the natural environment. Culling of topics will be shaped by the interests of class participants. ANT 455 students write an additional paper. Prerequisite: ANT 110 or SOC 110.
"
,,,,,
,,,,,
,,,,,
ANT ,ANT 299     ,Special Topics Abroad  ,A,UG16,
ANT ,ANT 301     ,Qualitative Field Methods  ,A,UG16,"An introduction to the research process. Students are prepared to conduct research, including fieldwork, to evaluate and present research in a scholarly manner, and to critically evaluate the research of others. Basic techniques such as participant-observation, interviewing, and the use of documents are practiced in the field and evaluated. Prerequisite: ANT 110 or SOC 110.
"
,,,,,
,,,,,
ANT ,ANT 302     ,Classics of Ethnography  ,A,UG16,"An examination of classic anthropological field studies, focusing on the works and lives of key figures in the field. Course readings show how ethnographic data are gathered and how these findings are analyzed and interpreted. In this course, the interpretive search for meaning confronts the scientific quest for truth. Prerequisite: ANT 110 or SOC 110. (Formerly offered as ANT 15 Studies of Culture.)
"
,,,,,
,,,,,
ANT ,ANT 304     ,History of Anthropology  ,A,UG16,"A critical analysis of the history of anthropological theory and method, tracing the development of this Western discipline through its various understandings of humankind in general, and of non-Western cultures in particular. Prerequisite: ANT 110 or SOC 110 or permission of the instructor.
"
,,,,,
ANT ,ANT 305     ,Research Methods  ,A,UG16,"An introduction to the process of social research, data collection, and data analysis, with a focus on survey research methods. Prerequisite: ANT 110 or SOC 110 or permission of the instructor.
"
,,,,,
ANT ,ANT 307     ,Feminist Ethnography&Methodology  ,A,UG16,
ANT ,ANT 310     ,Cultural Linguistics  ,A,UG16,"This ethnolinguistic course examines the relationship between speakers�� communicative choices (language, dialect, formality, style) and the social groups to which they claim membership (based on region, gender, age, social class). Topics include: the ethnography of communication, language and power, universals and cross-cultural differences in communicative strategies, and the nature and consequences of language variation. The linguist��s methods of studying language and working with language data are introduced, and field work among regional speakers of English as well as local non-English-speaking populations are conducted as research projects. Prerequisite: junior standing or permission of the instructor. (Formerly offered as ANT 25/45.)
"
,,,,,
,,,,,
,,,,,
ANT ,ANT 315     ,Community-Based Anthropology  ,A,UG16,This course is about the anthropology of community and the practice of community engagement. The anthropology of community employs a comparative approach to consider the means through which community dynamics and individual experiences influence each other. Community engagement includes the application of knowledge and skills to move a community toward positive change. Students work with a local community organization to (a) better understand the culture of the organization and the local community and (b) to contribute to the organization and local community in ways determined by the organization and community. This is an applied anthropology course where students put anthropological theory into practice. Prerequisite: Junior or senior standing. 
,,,,,
,,,,,
,,,,,
ANT ,ANT 320     ,The Anthropology of Tourism  ,A,UG16,"This course explores how ancient human societies responded to changing climates and environmental risk. We will rely on archaeological case studies, paleoenvironmental data, and our own visits to key archaeological sites to investigate what the past can tell us about collapse, strategies to mitigate risk, and cultural resilience."
,,,,,
ANT ,ANT 321     ,Anthropology of Development  ,A,UG16,"An introduction to the concept, practice, and discourse of ��development.' Using the perspective of anthropology, the course critiques the ��development' ideology of the Western Powers and examines its role in institutionalizing the so-called Third World . Several cross-cultural situations are compared, exemplifying a continuum of the successes and failures of various development projects. Alternative, indigenous versions of development possibilities are highlighted as offering potential paths for sustainable development, cultural survival, and human dignity. Prerequisite: Permission of the instructor.
"
,,,,,
,,,,,
ANT ,ANT 325     ,Anthropology of Media  ,A,UG16,"This course is a seminar on the roles played by media in culture and society, focusing on ethnographic studies of mass media production and consumption. We will examine media interactions with real people and take an anthropological approach that sees mass media as grounded in broader social contexts. From that perspective, we will look at how mass media may have a homogenizing effect on world culture, or how it can alternately exacerbate differences amoung groups. Topics include indigenous media, cultural globalization, reception theroy, Islamic media, and online communities. Prerequisite: ANT 110 or permission of the instructor.
"
,,,,,
,,,,,
ANT ,ANT 326     ,Islam and the Media  ,A,UG16,"This course asks how Muslim cultures and Islamic practice are represented on evening news broadcasts, talk radio and in popular film, and also how the Islamic world has itself been transformed by the advent of new media technologies. In its first half, the course explores how news and entertainment media in the U.S. and Europe have represented the Islamic world as well as Muslims at home and abroad, including the changing awareness of Islam in Western nations that followed the September 11 th attacks, and the subsequent U.S. ��war on terror.' In its second half, the course explores the rise of mass media in the Islamic world, focusing on t"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ANT ,ANT 327     ,Visual Anthropology  ,A,UG16,"The class focuses on the history, development, and key debates of the study of Visual Anthropology, including its legacy in historical museum collections of cross-cultural artifacts as well its major emphasis on both still images (photo) and moving images(film, video). The course presents visual materials as cultural ways of seeing and knowing within specific cultural contexts. Critical issues regarding ethnographic evidence, production of cultural knowledge, and the place of reflexivity and aesthetics for the ethnographer/artist will be explored. A variety of visual ethnographers will be profiled, ranging from the historical greats (such as Edward Curtis, Bateson and Mead,  Jean Rouch, Robert Flaherty, Robert Gardner, John Marshall, Timothy Asch) to historical and contemporary native artist/ethnographers."
,,,,,
,,,,,
,,,,,
ANT ,ANT 328     ,Post-Colonial Anthropology  ,A,UG16,
ANT ,ANT 330     ,Gender:Cross-Cultural Perspectiv  ,A,UG16,"A comparative, historical, and cross-cultural survey of the concept of gender. Biological, historical, and cultural influences as well as popular images and stereotypes affecting women��s and men��s lives are considered. Controversial issues of gender and equality and alternative gender roles are examined from several points of view. Prerequisite: ANT 110 or SOC 110 or permission of the instructor.
"
,,,,,
,,,,,
ANT ,ANT 331     ,Anthropology of Gender  ,A,UG16,"This course uses the theory and methods of cultural anthropology to examine the particular concerns of gender roles in various settings, as well as a consideration of sex and sexuality. The course begins with a focus on classic ideas in feminist anthropology and common conundrums in the cross-cultural study of gender. The class particularly focuses on new concerns of gender in an era of globalization and impacts upon labor and economics. In addition, the course considers the ways that gender as a category is cross-cut with issues of race and class��rather than a single idea, even within a given cultural context. Prerequisite: ANT 110 or SOC 110 or permission of the instructor.
"
,,,,,
,,,,,
,,,,,
ANT ,ANT 332     ,Men and Masculinities  ,A,UG16,"A study of how maleness is understood and experienced with particular attention to the different ways in which masculinity has historically been defined and achieved in various groups and cultures.  The course also examines the ways in which constructions of manhood intersect with race, class, sexuality, age and other dimensions of identity. 
"
,,,,,
,,,,,
ANT ,ANT 333     ,"Woman, Body, Culture  ",A,UG16,"An examination of connections between culture and how women understand and experience the body, with particular attention to issues of reproduction, beauty and sexuality. For instance, by exploring the intersections between beauty, body size and culture, students gain insight into how women's identities are positively and problematically influenced by these factors. Other topics include varied cultural constructions of the breast, racialized constructions of sexuality, violence directed toward the female body and differential experiences of pregnancy and menopause.
"
,,,,,
,,,,,
ANT ,ANT 335     ,Race and Ethnicity  ,A,UG16,"A study of the concept of ""race"" and the impact of that concept on the relations of ethnic groups. Prerequisite: SOC 110 or ANT 110 or permission of the instructor.
"
ANT ,ANT 336     ,Comparative Blackness  ,A,UG16,"This course is designed to address the following questions: Who is black? What is blackness? Is it how you look or what you do or your status in society? How much is biology and how much is culture? Is there one blackness or multiple blacknesses? What difference do class status and national identity make to the experience of blackness? Has there always been blackness and in what ways has it changed over time? In order to consider these questions, students compare the construction and experience of this identity in the United States, in Jamaica and in Brazil through a reading and discussion of contemporary ethnographies. 
"
,,,,,
,,,,,
ANT ,ANT 337     ,African American Cultures  ,A,UG16,"Understanding religion, music, dance, politics, economics or literature in American culture requires understanding African American culture. The African American experience spans four hundred years and includes a rich cultural heritage, a complex body of political and social ideas, and several ethnic and cultural identities. This course uses ethnography, novels and film to explore both historical and contemporary African American cultures. In addition, students have the opportunity to conduct fieldwork about the Black community in Danville."
,,,,,
,,,,,
ANT ,ANT 338     ,Anthropology of American Culture  ,A,UG16,"What is American culture? Is there an American culture? Are there core values, norms and rituals shared by Americans? Then what does it mean to describe the United States as multi-cultural? If there are many cultures, how do we identify and understand the relationships between them? This class will explore both our diversity and our shared identities, customs and beliefs as members of the
United States.  One objective of this course is to apply the anthropological perspective to the culture and society of the United States. We will study family, religion, politics, and immigration as well as race, ethnicity, gender, and class. While doing so, we will consider the dynamics of community, citizenship,
assimilation, difference, belonging and cultural oppression.  Another objective is to examine our own values and to deepen our appreciation of and sensitivity to others�� ways of being. To that end, the class will read anthropological texts on the elite, the mainstream, the marginal, the familiar and the exotic within America. In addition, we will compare ethnographies of the United States written by native anthropologists t"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ANT ,ANT 340     ,Intro to Folklore  ,A,UG16,"A cross-cultural survey of the major forms of folklore and a consideration of the methodological and theoretical approaches used by anthropologists and folklorists in the study of folklore. Major genres of folklore are identified, methods for collecting folklore are discussed and analyzed, and folklore theory of the 19th and 20th centuries is identified and assessed. The place of folklore in the study of anthropology is explored. Prerequisite: ANT 110 or SOC 110 or permission of the instructor.
"
,,,,,
,,,,,
ANT ,ANT 341     ,Medical Anthropology  ,A,UG16,"This course will provide a cross-cultural overview of medical systems. We will explore the various responses human groups have developed to cope with disease and illness events. Topics include an introduction to paleopathology, ethnomedical systems, patients, healers, etiology, help seeking, diagnosis and treatment. There is an emphasis on the contrast between western and non-western perspectives. The medical systems include Western and Eastern variants of biomedicine, as well as Asian, Indian, and Arab professional ethnomedicine. Also, folk medicines from Africa, Europe, and Native Latin and Urban American will be examined. By means of assigned articles, ethnographies, films, and lectures, the course provides an exploration of the breadth of the field of the anthropology of health.  Prerequisites:  ANT 110."
,,,,,
,,,,,
,,,,,
ANT ,ANT 345     ,South East Asia  ,A,UG16,"This course introduces students to the history and cultural diversity of Southeast Asia, from prehistoric to contemporary times. It examines the distinctive character of the region, its broad range of ethnic and linguistic groups, and how these have changed over time. Lectures and discussions focus on the broad themes of unity and diversity in examining key indigenous cultural groups, and their ongoing struggles with religious, economic, and political influences from China, India, the Arabian Peninsula, and the West. Prerequisite: ANT 110 or SOC 110 or permission of the instructor.
"
,,,,,
,,,,,
ANT ,ANT 346     ,Folklore/Expresv Culture Mexico  ,A,UG16,
ANT ,ANT 350     ,Ecological Anthropology  ,A,UG16,"A study of interrelationships between populations, organization, environment, technology, and symbols. Established materialist paradigms in anthropology are critiqued and evaluated. New approaches to understanding issues of environmental degradation, world hunger, and Third World development and change are addressed, including historical ecology, political ecology, the ecology of practice, and remote sensing analysis. Prerequisite: ANT 110 or ANT 120.
"
,,,,,
,,,,,
ANT ,ANT 351     ,Climate Change & Ancient Society  ,A,UG16,
ANT ,ANT 360     ,GIS and the Environment  ,A,UG16,"A problem-focused introduction to the concepts and applications of Geographic Information Systems (GIS) and remote sensing as used in ecological anthropology and environmental studies. Students in the course receive hands-on training in the use of ArcGIS, the industry-standard GIS software, and the ERDAS IMAGINE remote sensing imagery processing software. Students also learn how to integrate data into geospatial analysis from sources such as maps, aerial photographs, Landsat satellite images and ethnographic field studies. 


"
,,,,,
,,,,,
,,,,,
,,,,,
ANT ,ANT 361     ,Forensic Anthroplogy  ,A,UG16,"Forensic anthropology is a popular subject for TV crime dramas, but what do forensic anthropologists really do? This course is an introduction to the knowledge, methods, and skills applied by forensic anthropologists to identify human remains in a variety of medical and legal contexts. Via a series of case studies, the course covers topics such as general human osteology; skeletal indicators of age, sex, disease, trauma, and occupation; decomposition; and applications of forensic anthropology to crime scenes, mass disasters, and human rights cases. Prerequisite: ANT 120 or permission of the instructor. "
,,,,,
,,,,,
ANT ,ANT 365     ,Human Evolution  ,A,UG16,"A study of human evolution from primate beginnings through the origins and diversification of the australopithecines, the early members of the genus Homo, the Neanderthals and other archaics, and anatomically and behaviorally modern Homo sapiens. The course emphasizes comparative anatomy of the primates and close examination of the fossil and lithic records of the human past. Prerequisite: ANT 120 or permission of the instructor."
,,,,,
,,,,,
ANT ,ANT 370     ,Ritual Theory  ,A,UG16,"A cross-cultural look at ritual behavior as theory and process. The course explores the role of ritual as a form of human communication. It examines such issues as the social, cultural, political, and expressive role of ritual in human society, and the relationship between ritual action and mythic content. Finally, the course examines how one can analyze ritual process from a structural, functional, performative, and semiotic perspective. Prerequisite: Ant 110 or SOC 110.
"
,,,,,
,,,,,
ANT ,ANT 380     ,Archaeology: Theory & Practice  ,A,UG16,"This course focuses on the methods and theories archaeologists use to reconstruct past societies.  Hands-on field and analysis activities give students practical experience asking archaeological questions, designing research strategies, collecting survey and excavation data, curating and analyzing artifacts in the lab, qualitatively and quantitatively analyzing data, and applying this analysis to larger questions about ancient cultures.  Prerequisite: ANT 120 or permission of the instructor.
"
,,,,,
,,,,,
ANT ,ANT 381     ,Archaeology/Prehist/Ancient Civ  ,A,UG16,"An introduction to the methods and practice of archaeology as one of four subfields of anthropology, concentrating on world prehistory and the rise of ancient civilizations. The course includes a brief historical survey of archaeology as well as an overview of contemporary archaeological techniques. A focus on archaeological evidence for the major turning points in human history such as the domestication of animals and plants, the rise of agriculture and sedentary life, the relates rise of cities and, ultimately, ancient civilizations, underlies the organization of the course. Prerequisite: ANT 110 or 120 or permission of the instructor.
"
,,,,,
,,,,,
ANT ,ANT 382     ,An Archaeologist Looks at Death  ,A,UG16,"Archaeological tombs have often been used as the basis for fanciful speculation on ancient religion or notions of the arterlife.  However, in modern archaeology, analysis of ancient mortuary behavior aims at reconstructing past cultural patterns, social structure, and value systems.  This course uses anthropological and archaeological theory, prehistoric case studies, especially Andean cases, and analysis of archaeological data to look at: (1) How archaeological study of human burials can reconstruct past deathways (mortuary practices, including treatment of the corpse and funerary rites); and (2) what deathways, in turn, can reveal about social dynamics, worldview, and the role of funerals (and the dead) for the living in past societies.  Prerequisite: ANT 110 or ANT 120 or permission of the instructor."
,,,,,
,,,,,
,,,,,
ANT ,ANT 383     ,Kentucky Prehistory  ,A,UG16,"This course explores the prehistory of Kentucky and the surrounding region. Themes include the debates surrounding the peopling of the New World and the earliest human occupation of North America, central Kentucky's relationship to nearby complex Fort Ancient and Mississippian societies in the centuries before European arrival, and how archaeologists, indigenous communities, and the public collaborate and compete to portray past societies in the region. Student presentations, demonstrations of prehistoric technology, and visits to local sites are essential components of the course. The course includes a two-night field trip to sites in Southern Ohio. Prerequisite: ANT 110 or ANT 120 or permission of the instruction."
,,,,,
,,,,,
,,,,,
ANT ,ANT 384     ,Paleo-Kitchen:Archaeology ofFood  ,A,UG16,"This course explores the human diet from evolutionary, physiological, and cultural viewpoints, informed by archaeological case studies. Topics covered include current debates over hominid diet; the nature of the first cooking; the causes and consequences of the shift from hunting/gathering to farming; archaeological techniques for reconstructing subsistence and cooking patterns; the development of food preparation spaces (kitchens), gender roles, and ��domestic�� life; and the nature of the earliest ancient cuisines. We end by considering implications for food and diet in contemporary society. Prerequisite: ANT 120 or permission of the instructor."
,,,,,
,,,,,
ANT ,ANT 385     ,"Inkas, Mayas, Aztecs  ",A,UG16,"This course explores the archaeology of the Inka, Aztec, and Maya civilizations, among the most complex and intriguing prehispanic societies in the Americas. Focus is on the regional historical and cultural context, sociopolitical organization, artistic and architectural traditions, and daily life of each civilization. Ultimately, the course compares the origins, florescence, and collapse of Inka, Aztec, and Maya society on the basis of archaeological evidence, complemented by historical records and modern ethnography. Prerequisite: ANT 110 or ANT 120 or permission of the instructor. "
,,,,,
,,,,,
ANT ,ANT 391     ,Native Peoples of North America  ,A,UG16,"An introductory cultural survey of the native peoples of North America from their arrival in the New World to the present. Focus is on several selected native groups of the United States and Canada, exploring the complexity and diversity of their cultures, and their relationships with the ""white"" culture. Particular concerns are survival, change, identity, perceptions of self and others, and the Native American cultures of today. Prerequisite: ANT 110 and 120.
"
,,,,,
,,,,,
ANT ,ANT 392     ,Peoples of South America  ,A,UG16,"A cultural survey of the native peoples of South America, focusing on the ethnology and ethnohistory of specific cultural groups as well as the impact of the so-called conquest. General cultural patterns as well as specific cultural differences are explored. Theoretical, cross-cultural, and interdisciplinary issues are raised, using a variety of primary and other sources. Prerequisite: ANT 110 or SOC 110 or permission of the instructor.
"
,,,,,
,,,,,
ANT ,ANT 393     ,The Maya  ,A,UG16,"An ethnohistoric, archaeological, and contemporary survey of Mayan culture. Emphasis is on the prehistory and history of the Maya, the traditional culture of the Maya including intensive examination of Mayan art and architecture, and the vital Mayan culture present in Mesoamerica today. Prerequisite: ANT 110 and 120.
"
,,,,,
ANT ,ANT 394     ,Peoples of Middle East/N. Africa  ,A,UG16,"A cultural survey of the native peoples of the Middle East and North Africa, focusing on the ethnology and ethnohistory of specific cultural groups as well as the important influence, sometimes unifying, sometimes divisive, of Islam on the area. General cultural patterns as well as specific cultural differences are explored. Theoretical, cross-cultural, and interdisciplinary issues are raised using a variety of sources. Prerequisite: ANT 110 or SOC 110 or permission of the instructor.
"
,,,,,
,,,,,
ANT ,ANT 395     ,Peoples of Sub-Saharan Africa  ,A,UG16,"An introduction to the history, ethnography, and ecology of the diverse cultures and societies of sub-Saharan Africa. The course begins with a survey of the geography, prehistory, and history of the continent, and proceeds to an examination of the social and economic organization of small-scale African societies, a discussion of African thought and religion, and a discussion of gender issues and social change. Finally, the course focuses on experiences of ethnographers as they encounter rural African society. Prerequisite: ANT 110 or SOC 110 or permission of the instuctor.
"
,,,,,
,,,,,
ANT ,ANT 396     ,Anthropology of South Asia  ,A,UG16,"A study of the history and culture of South Asia and the ways that this area has influenced and been influenced by the rest of the globe. We will seek to understand the pathways along which knowledge about South Asia has been created and the ways that the cultures of those who live in the region have been shaped by their engagement with the world. To investigate these issues, we will discuss many of the anthropological frameworks under which South Asia is often discussed, including tradition vs. modernity, sanskritization, colonialism and village life. Prerequisite: ANT 110 or permission of the instructor.
"
,,,,,
,,,,,
ANT ,ANT 397     ,Native Peoples of Mexico  ,A,UG16,"An historical and ethnographic survey of the major cultures of Mexico . Conducted in Mexico with a focus on cultures in areas to be visited: Quiche Maya, Lacandon Maya, Zapotec, Mixtec. The course demonstrates the history and development of major points of unity among the cultures of Mesoamerica , as well as noting obvious and specific cultural differences, prehistorically, during colonial times, and in contemporary Mexico.
"
,,,,,
,,,,,
ANT ,ANT 399     ,Special Topics Abroad  ,A,UG16,
ANT ,ANT 400     ,Directed Study  ,A,UG16,
ANT ,ANT 401     ,Independent Study  ,A,UG16,
ANT ,ANT 402     ,Research Participation  ,A,UG16,
ANT ,ANT 450     ,Anthropology of Art  ,A,UG16,"A consideration of art in its cultural context, from its beginnings through today. The definition of art being used in this course is broad, and includes the traditional arts of painting and sculpture along with architecture and what has been traditionally termed craft. The role of art and artist in social life and communication is considered. ANT 450 students write an additional paper. The course includes a five-day field trip to Chicago. Prerequisite: ANT 110. 
"
,,,,,
,,,,,
ANT ,ANT 451     ,Ancient Maya Culture  ,A,UG16,"An introduction to the cultures of Maya peoples in Mexico and Central America. Provides a basic knowledge of the historic and contemporary Maya indigenous people on site in Latin America. Interacting in the classroom with a Maya storyteller provides an opportunity for understanding the subversive potential of oral tradition and the role that language plays in a world of multiple identities. Visiting a pueblo and interacting with Maya indigenous people allow students to explore the dialogical nature of speaking: we actually expect to hear our own answers echoed by the others. Offered in Mexico. 
"
,,,,,
,,,,,
ANT ,ANT 452     ,Topics in Historical Archaeology  ,A,UG16,
ANT ,ANT 453     ,Peoples of Mexico: Oaxaca at the Crossroads ,A,UG16,
ANT ,ANT 454     ,Advanced Topics in Folklore  ,A,UG16,
ANT ,ANT 455     ,Anthropology of Violence  ,A,UG16,"The course focuses on the cultural shaping of violence, looking at both culture-specific phenomena and those patterns that are documented around the world and throughout history. Sites of violence range from the domestic sphere and the community, to institutionalized violence and appropriation of resources, and to state-sanctioned torture and global terrorism. In each case, we take into account context, checks and balances, mediation, and peaceful resolution within and without any legal structure. Specific topics of violence include child, spouse, and pet abuse, crime and warfare, vandalism, and abuse of the natural environment. Culling of topics will be shaped by the interests of class participants. ANT 455 students write an additional paper. Prerequisite: ANT 110 or SOC 110.
"
,,,,,
,,,,,
,,,,,
ANT ,ANT 456     ,Pyramids& Politics: Exploring Peru's Prehispanic Past ,A,UG16,"This course addresses a central question in archaeology:  How, and when, did states first emerge?  In the Andes, state-level societies emerged in the face of severe environmental restrictions and in a nonmarket economy, making the central Andes a particularly interesting comparative case study of state development.  Through visits to archaeological sites, museums, and other curtural experiences in Peru, this course will take a comparative perspective on the emergence, organization, and collapse of some of the most important prehispanic states in the central Andes. Open to students who have paid the deposit for this off-campus program."
,,,,,
,,,,,
ANT ,ANT 457     ,History/Anthro Bluegrass Music  ,A,UG16,"This course explores the historical development of this American musical genre, beginning with its founder Bill Monroe. The theoretical orientations of Cantometrics and anthropology of the senses are used to understand the complex relationship between culture and music. The ethnographic accounts of rural Appalachia are studied for the anthropological origins of the music.  The folklore associated with many songs is analyzed from an anthropological perspective. The historical roots of the Scotch-Irish people are considered as they relate to the origins of string music in America.  The cultural development of the bluegrass genre of music is discussed from the earliest forms such as mountain music to more contemporary string bands. "
,,,,,
,,,,,
,,,,,
ANT ,ANT 458     ,The Legacy of the Olmecs  ,A,UG16,"This course explores the legacy of the Olmecs and their descendants on the Gulf Coast of Mesoamerica through an examination of archaeological evidence, complemented by art-historical, epigraphic and linguistic studies, historical accounts, and modern ethnography. We will consider the origins and influence of Olmec society, interactions with other Mesoamerican groups, as well as collapse and transformation. We will also consider issues of modern Olmec identity and heritage. Prerequisite: ANT 110 or 120, or permission of the instructor."
,,,,,
,,,,,
ANT ,ANT 500     ,Senior Seminar  ,A,UG16,"A seminar study of important works in anthropology and sociology. Topics change with the instructor; this course may be repeated. Prerequisite: Senior standing and major in anthropology/sociology or minor in anthropology or sociology.
"
,,,,,
ARH ,ARH 117     ,Introduction to Visual Studies  ,A,UG16,"We live in a world saturated by images �C from the screens with which we surround ourselves to computer-generated images to retinal projection �C yet most of us struggle to interpret how we understand what we see. We are immersed in visual technologies that shape our behavior �C from computer games to augmented reality �C yet few of us know how to work directly with such technologies. This class approaches these issues on two fronts: first, it traces contemporary visual technologies to their historical origins in multiple traditions of artistic practice. Second, it provides students the opportunity to work with emerging visual technologi"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ARH ,ARH 260     ,Survey of Western Art-I  ,A,UG16,
ARH ,ARH 261     ,Survey of Western Art-II  ,A,UG16,
ARH ,ARH 263     ,Molec. Modernism: Manet To Marc  ,A,UG16,
ARH ,ARH 264     ,Molec. Modernism: Manet-Matisse  ,A,UG16,"This travel course will focus on the progression of French painting from the 1860��s to the 1900��s, from Realism to Impressionism, Neo-Impressionism, Fauvism, and Cubism. Spending time in and around Paris and then in Provence, we will study in three types of locations �C art museums, conservation labs, and actual painting sites of these important artists. The role of science and technology in this progression (including synthesis of new materials and how color theory informed painting) will be discussed. Scientific topics include light and its interaction with matter, color mixing, chemical and physical causes of color, and the biology of vision; these topics are discussed to gain a deeper understanding of paintings. Analytical techniques used in conservation science and forgery investigations will be discussed. Prerequisite: Any CHE course or permission of the instructor. Open to students who have paid the deposit for this off-campus program.
"
,,,,,
